FTHG,FTAG,HS,AS,HST,AST,HC,AC,HF,AF,HY,AY,HR,AR,FTR,goal_diff,home_shot_acc,away_shot_acc,corner_diff,foul_diff
0,0,8,11,2,4,5,12,9,13,2,3,0,0,D,0,0.2222222222222222,0.3333333333333333,-7,-4
0,1,10,11,2,5,5,4,9,7,2,0,0,0,A,-1,0.18181818181818182,0.4166666666666667,1,2
2,1,19,5,9,5,5,10,22,10,4,0,0,0,H,1,0.45,0.8333333333333334,-5,12
3,0,20,18,7,5,3,5,15,13,2,1,1,0,H,3,0.3333333333333333,0.2631578947368421,-2,2
2,0,9,7,4,2,3,6,8,18,1,3,0,0,H,2,0.4,0.25,-3,-10
3,3,13,11,4,4,5,8,13,8,2,1,0,0,D,0,0.2857142857142857,0.3333333333333333,-3,5
0,4,7,21,3,12,3,5,7,4,1,2,0,0,A,-4,0.375,0.5454545454545454,-2,3
1,2,8,9,2,3,3,6,10,11,0,2,0,0,A,-1,0.2222222222222222,0.3,-3,-1
1,3,9,18,2,6,5,3,11,10,3,1,0,0,A,-2,0.2,0.3157894736842105,2,1
1,0,7,17,3,1,1,10,5,12,1,3,0,0,H,1,0.375,0.05555555555555555,-9,-7
1,0,17,7,4,3,5,2,13,12,2,3,0,1,H,1,0.2222222222222222,0.375,3,1
0,1,11,13,0,7,3,4,15,13,1,2,0,0,A,-1,0.0,0.5,-1,2
1,2,12,5,3,3,6,5,6,11,2,2,0,0,A,-1,0.23076923076923078,0.5,1,-5
1,0,16,5,6,1,8,4,4,12,0,2,0,0,H,1,0.35294117647058826,0.16666666666666666,4,-8
1,1,15,15,6,4,6,5,13,15,1,2,0,0,D,0,0.375,0.25,1,-2
0,0,11,12,4,2,7,3,10,11,1,1,0,0,D,0,0.3333333333333333,0.15384615384615385,4,-1
2,3,23,12,6,5,11,0,10,14,2,1,0,0,A,-1,0.25,0.38461538461538464,11,-4
0,1,7,7,2,2,5,2,8,9,1,1,0,0,A,-1,0.25,0.25,3,-1
1,0,15,10,4,2,7,4,12,9,2,1,0,0,H,1,0.25,0.18181818181818182,3,3
0,1,10,21,3,6,1,12,11,10,2,3,1,0,A,-1,0.2727272727272727,0.2727272727272727,-11,1
2,0,16,8,5,3,2,5,10,11,2,2,0,0,H,2,0.29411764705882354,0.3333333333333333,-3,-1
1,3,15,14,5,5,5,7,13,4,4,0,0,0,A,-2,0.3125,0.3333333333333333,-2,9
0,0,17,8,3,4,7,3,15,6,2,1,0,0,D,0,0.16666666666666666,0.4444444444444444,4,9
4,0,13,2,6,0,11,1,9,8,0,0,0,0,H,4,0.42857142857142855,0.0,10,1
3,0,20,4,6,1,7,2,9,8,0,0,0,0,H,3,0.2857142857142857,0.2,5,1
2,1,14,6,6,2,3,1,10,10,0,1,0,0,H,1,0.4,0.2857142857142857,2,0
2,0,8,9,6,5,6,3,7,16,1,3,0,0,H,2,0.6666666666666666,0.5,3,-9
2,0,28,11,9,4,16,2,10,9,0,2,0,0,H,2,0.3103448275862069,0.3333333333333333,14,1
1,2,12,15,5,5,2,8,6,10,3,1,0,0,A,-1,0.38461538461538464,0.3125,-6,-4
0,1,27,6,6,4,12,0,11,8,2,1,0,0,A,-1,0.21428571428571427,0.5714285714285714,12,3
2,0,14,7,5,1,5,4,9,18,0,3,0,0,H,2,0.3333333333333333,0.125,1,-9
2,3,6,17,3,7,3,4,9,8,0,0,0,0,A,-1,0.42857142857142855,0.3888888888888889,-1,1
1,2,22,9,5,2,9,5,10,15,1,3,0,0,A,-1,0.21739130434782608,0.2,4,-5
1,3,13,9,5,5,4,5,11,6,1,2,0,0,A,-2,0.35714285714285715,0.5,-1,5
0,5,4,18,1,7,3,8,8,8,2,0,0,0,A,-5,0.2,0.3684210526315789,-5,0
3,2,10,18,5,10,2,4,16,7,1,0,0,0,H,1,0.45454545454545453,0.5263157894736842,-2,9
0,0,14,4,5,0,13,1,14,7,1,1,0,0,D,0,0.3333333333333333,0.0,12,7
0,0,16,10,5,3,10,0,10,14,2,1,0,0,D,0,0.29411764705882354,0.2727272727272727,10,-4
1,1,8,19,2,6,5,11,12,10,1,1,0,0,D,0,0.2222222222222222,0.3,-6,2
1,2,16,5,4,3,7,2,10,12,1,1,0,0,A,-1,0.23529411764705882,0.5,5,-2
1,3,3,14,2,7,1,2,9,11,1,2,0,0,A,-2,0.5,0.4666666666666667,-1,-2
0,2,11,13,3,3,7,12,13,6,3,4,0,0,A,-2,0.25,0.21428571428571427,-5,7
1,0,11,6,2,4,1,6,7,10,1,2,0,0,H,1,0.16666666666666666,0.5714285714285714,-5,-3
1,0,10,4,5,1,10,0,7,10,0,3,0,0,H,1,0.45454545454545453,0.2,10,-3
2,2,5,12,3,7,2,3,9,10,1,0,0,0,D,0,0.5,0.5384615384615384,-1,-1
0,0,17,14,3,3,4,7,9,16,1,3,0,0,D,0,0.16666666666666666,0.2,-3,-7
0,1,20,8,5,4,7,1,12,11,1,0,0,0,A,-1,0.23809523809523808,0.4444444444444444,6,1
2,0,19,1,8,0,4,2,7,9,0,1,0,0,H,2,0.4,0.0,2,-2
1,3,18,8,8,7,6,4,17,16,0,3,0,0,A,-2,0.42105263157894735,0.7777777777777778,2,1
1,3,8,14,2,5,6,5,7,8,2,0,0,0,A,-2,0.2222222222222222,0.3333333333333333,1,-1
1,0,16,8,5,4,9,2,11,11,2,1,0,0,H,1,0.29411764705882354,0.4444444444444444,7,0
2,1,14,8,6,4,9,2,11,9,2,1,0,0,H,1,0.4,0.4444444444444444,7,2
2,1,11,9,7,3,9,6,11,8,3,2,0,2,H,1,0.5833333333333334,0.3,3,3
9,0,24,3,14,1,5,3,11,6,2,3,0,2,H,9,0.56,0.25,2,5
1,2,21,6,5,3,9,1,14,11,1,3,0,0,A,-1,0.22727272727272727,0.42857142857142855,8,3
0,2,2,17,0,6,1,3,8,5,2,1,0,0,A,-2,0.0,0.3333333333333333,-2,3
0,2,8,9,1,5,5,2,17,10,3,1,0,0,A,-2,0.1111111111111111,0.5,3,7
1,2,16,10,7,6,7,1,12,12,2,3,0,0,A,-1,0.4117647058823529,0.5454545454545454,6,0
1,3,9,20,2,10,7,3,11,15,1,1,0,0,A,-2,0.2,0.47619047619047616,4,-4
0,1,11,13,1,4,6,3,12,6,1,0,0,0,A,-1,0.08333333333333333,0.2857142857142857,3,6
0,1,7,18,2,2,2,7,20,14,2,3,0,0,A,-1,0.25,0.10526315789473684,-5,6
1,0,12,14,8,3,3,7,12,12,3,2,0,0,H,1,0.6153846153846154,0.2,-4,0
1,1,20,10,7,2,8,7,8,10,2,0,0,0,D,0,0.3333333333333333,0.18181818181818182,1,-2
3,2,6,14,4,5,0,7,11,14,2,1,1,0,H,1,0.5714285714285714,0.3333333333333333,-7,-3
0,0,20,8,2,1,7,3,11,10,1,2,0,1,D,0,0.09523809523809523,0.1111111111111111,4,1
3,3,14,6,5,3,5,1,14,10,2,1,0,0,D,0,0.3333333333333333,0.42857142857142855,4,4
2,0,13,4,6,1,8,0,16,12,1,2,0,0,H,2,0.42857142857142855,0.2,8,4
0,0,13,13,1,3,8,2,11,15,1,3,0,0,D,0,0.07142857142857142,0.21428571428571427,6,-4
1,4,8,8,3,5,6,1,13,8,2,1,0,0,A,-3,0.3333333333333333,0.5555555555555556,5,5
1,2,8,9,3,3,1,8,8,8,1,0,0,0,A,-1,0.3333333333333333,0.3,-7,0
2,0,17,8,7,3,5,3,7,8,0,2,0,0,H,2,0.3888888888888889,0.3333333333333333,2,-1
3,1,11,15,6,4,2,12,9,6,1,2,0,0,H,2,0.5,0.25,-10,3
0,3,13,16,3,4,7,4,15,14,0,0,0,0,A,-3,0.21428571428571427,0.23529411764705882,3,1
3,0,15,7,6,3,4,2,12,13,1,3,0,0,H,3,0.375,0.375,2,-1
0,0,26,4,9,1,9,2,16,12,2,3,0,0,D,0,0.3333333333333333,0.2,7,4
1,2,7,10,3,4,4,6,10,9,2,2,0,0,A,-1,0.375,0.36363636363636365,-2,1
1,1,7,10,3,7,4,5,13,10,5,0,0,0,D,0,0.375,0.6363636363636364,-1,3
4,2,13,9,5,5,4,5,8,17,0,2,0,0,H,2,0.35714285714285715,0.5,-1,-9
0,2,7,12,2,3,5,4,7,16,1,1,0,0,A,-2,0.25,0.23076923076923078,1,-9
3,0,13,8,9,5,7,7,11,12,0,2,0,0,H,3,0.6428571428571429,0.5555555555555556,0,-1
2,0,18,10,5,4,10,5,9,13,0,0,0,0,H,2,0.2631578947368421,0.36363636363636365,5,-4
1,1,8,8,3,3,5,5,7,13,1,1,0,0,D,0,0.3333333333333333,0.3333333333333333,0,-6
1,3,3,16,2,7,0,10,8,8,2,1,0,0,A,-2,0.5,0.4117647058823529,-10,0
1,0,15,18,5,7,7,9,13,8,1,0,0,0,H,1,0.3125,0.3684210526315789,-2,5
1,1,4,9,1,3,3,6,10,10,1,1,0,0,D,0,0.2,0.3,-3,0
0,0,6,10,1,3,5,5,16,10,3,0,0,1,D,0,0.14285714285714285,0.2727272727272727,0,6
0,2,15,9,6,6,7,2,10,10,2,1,0,0,A,-2,0.375,0.6,5,0
1,0,15,4,7,2,6,4,11,14,1,2,0,0,H,1,0.4375,0.4,2,-3
2,1,4,20,4,4,5,7,14,7,4,3,0,0,H,1,0.8,0.19047619047619047,-2,7
1,2,11,16,2,7,7,8,11,12,2,1,0,0,A,-1,0.16666666666666666,0.4117647058823529,-1,-1
0,1,7,15,1,3,1,3,11,9,2,2,0,0,A,-1,0.125,0.1875,-2,2
3,1,15,10,7,6,6,4,9,11,1,2,0,0,H,2,0.4375,0.5454545454545454,2,-2
1,2,25,3,5,2,13,0,11,6,2,0,0,0,A,-1,0.19230769230769232,0.5,13,5
3,0,11,13,7,5,2,4,11,13,1,2,0,0,H,3,0.5833333333333334,0.35714285714285715,-2,-2
2,1,10,9,3,3,4,2,8,11,1,1,0,0,H,1,0.2727272727272727,0.3,2,-3
1,0,6,15,2,6,7,4,11,12,0,0,0,0,H,1,0.2857142857142857,0.375,3,-1
0,1,13,9,3,4,7,5,14,14,3,2,0,0,A,-1,0.21428571428571427,0.4,2,0
1,1,19,14,7,4,3,5,11,13,2,0,0,0,D,0,0.35,0.26666666666666666,-2,-2
0,0,3,16,0,4,1,3,10,14,1,1,0,0,D,0,0.0,0.23529411764705882,-2,-4
1,3,8,12,3,4,2,7,15,3,2,1,0,0,A,-2,0.3333333333333333,0.3076923076923077,-5,12
4,0,16,10,7,3,3,4,6,10,0,0,0,0,H,4,0.4117647058823529,0.2727272727272727,-1,-4
0,0,18,11,6,4,3,4,11,12,1,2,0,0,D,0,0.3157894736842105,0.3333333333333333,-1,-1
0,2,8,16,2,8,4,3,9,9,0,0,0,0,A,-2,0.2222222222222222,0.47058823529411764,1,0
1,0,7,9,1,1,4,10,13,9,0,2,0,0,H,1,0.125,0.1,-6,4
4,1,22,6,10,1,10,2,9,5,0,1,0,0,H,3,0.43478260869565216,0.14285714285714285,8,4
1,1,12,15,7,4,5,8,6,12,0,2,0,0,D,0,0.5384615384615384,0.25,-3,-6
1,0,9,16,2,4,2,7,13,6,1,0,1,0,H,1,0.2,0.23529411764705882,-5,7
0,0,8,11,2,1,4,6,4,13,1,0,0,0,D,0,0.2222222222222222,0.08333333333333333,-2,-9
0,1,11,9,3,2,4,1,13,9,2,1,0,0,A,-1,0.25,0.2,3,4
0,1,11,11,3,3,3,3,9,7,3,1,0,0,A,-1,0.25,0.25,0,2
0,1,7,11,1,5,5,2,9,8,0,0,0,0,A,-1,0.125,0.4166666666666667,3,1
1,1,9,15,5,3,2,4,5,12,1,1,0,0,D,0,0.5,0.1875,-2,-7
